id,name,address,lat,long,star_number,street_id,district_id,province_id
23699,Phuoc An DMZ Hotel,"1A Pham Ngu Lao, Thành phố Huế, Huế, Việt Nam",16.470010000000002,107.59403600000002,1,27748.0,275.0,1
29514,Beaulieu Boutique Hotel Hue,"15 Phạm Ngũ Lão, Thành Phố Huế, Thừa Thiên - Huế",16.4691413,107.5947282,3,27748.0,275.0,1
29672,Trang Hotel,"15, Hòn Chảo - Phú Lộc, Huyện Phú Lộc, Thừa Thiên - Huế",0.0,0.0,1,32452.0,441.0,1
29676,Alibaba hot,"12, Quốc lộ 1A, Huyện A Lưới, Thừa Thiên - Huế",0.0,0.0,1,27840.0,1.0,1
41168,Khách sạn Laurel Huế (Laurel Hotel Hue),"7 Đội Cung, Thành Phố Huế, Thừa Thiên - Huế",16.4690591,107.5933923,2,27666.0,275.0,1
41176,Amona Hotel,"11 Nguyễn Công Trứ, Thành Phố Huế, Thừa Thiên - Huế",16.47187865,107.5966963,2,27718.0,275.0,1
41178,Avon Hotel,"135 Nguyễn Sinh Cung, Thành Phố Huế, Thừa Thiên - Huế",16.48084882,107.5959731,2,27734.0,275.0,1
41180,Poetic Hue Hotel,"Kiệt 26 số nhà 24 Võ Thị Sáu, Thành Phố Huế, Thừa Thiên - Huế",16.47024142,107.59660890000002,1,27787.0,275.0,1
41183,Khách sạn The Sunriver Boutique Huế (The Sunriver Boutique Hotel Hue),"15 Đội Cung, Thành Phố Huế, Thừa Thiên - Huế",16.46869257,107.5937691,3,27666.0,275.0,1
41184,Nice Hue Hotel,"Số 27 Hai Bà Trưng, Thành Phố Huế, Thừa Thiên - Huế",16.45952,107.589154,2,27671.0,275.0,1
41186,Khách Sạn The Times (The Times Hotel),"29 Kiệt 42 Nguyễn Công Trứ, Thành Phố Huế, Thừa Thiên - Huế",16.47187865,107.5966963,2,27718.0,275.0,1
41187,La Paix Huế (La Paix Hue),"Số 8 kiệt 139 Nguyễn Sinh Cung, Thành Phố Huế, Thừa Thiên - Huế",16.48130664,107.5954447,3,27734.0,275.0,1
41189,Khách Sạn Sapphire Huế (Sapphire Hotel Hue),"65 Võ Thị Sáu, Thành Phố Huế, Thừa Thiên - Huế",16.47066711,107.5960295,2,27787.0,275.0,1
41193,Khách sạn Cherry Huế (Cherry Hotel Hue),"5/28 Võ Thị Sáu, Thành Phố Huế, Thừa Thiên - Huế",16.47043947,107.5961422,3,27787.0,275.0,1
41198,The G.Hotel Hue,"33/1A Nguyễn Công Trứ, Thành Phố Huế, Thừa Thiên - Huế",16.47169664,107.5968351,3,27718.0,275.0,1
41202,Kha Hotel,"5/29 Võ Thị Sáu, Thành Phố Huế, Thừa Thiên - Huế",16.46947749,107.595477,2,27787.0,275.0,1
41204,SH Hotel,"42/48 Ngô Quyền, Thành Phố Huế, Thừa Thiên - Huế",16.46065287,107.5880849,1,27725.0,275.0,1
41217,Spring Garden Villa,"46 Minh Mạng, Thành Phố Huế, Thừa Thiên - Huế",16.43404171,107.5806841,2,27709.0,275.0,1
41220,Khách Sạn Huế Royal (Hue Royal Hotel),"36 Võ Thị Sáu, Thành Phố Huế, Thừa Thiên - Huế",16.47118539,107.59611,3,27787.0,275.0,1
41231,Khách Sạn Beaulieu Boutique (Beaulieu Boutique Hotel),"15 Phạm Ngũ Lão, Thành Phố Huế, Thừa Thiên - Huế",16.46913311,107.5947711,3,27748.0,275.0,1
41232,The Sunriver Boutique Hotel,"15 Đội Cung, Thành Phố Huế, Thừa Thiên - Huế",16.4684675,107.5939287,3,27666.0,275.0,1
41237,Khách sạn Carnosa Huế (Carnosa Hotel Hue),"11D Nguyễn Công Trứ, Thành Phố Huế, Thừa Thiên - Huế",16.47187865,107.5966963,3,27718.0,275.0,1
41240,Rabbit Motel,"5/1 Lê Hồng Phong, Thành Phố Huế, Thừa Thiên - Huế",16.4593071,107.5962355,1,27686.0,275.0,1
41243,Royal Crest Hotel,"25/40 Nguyễn Sinh Cung, Thành Phố Huế, Thừa Thiên - Huế",16.47556713,107.5961125,2,27734.0,275.0,1
41312,Spring Garden Villa - Azalea Room,"46 Minh Mạng, Thành Phố Huế, Thừa Thiên - Huế",16.43403592,107.580674,2,27709.0,275.0,1
41318,Pilgrimage Wellness Retreat,"Số 130 Minh Mạng, Thành Phố Huế, Thừa Thiên - Huế",16.42550553,107.5786537,5,27709.0,275.0,1
45547,Ideal Hotel Hue,"1 Võ Thị Sáu, Phú Hội, Thành Phố Huế, Thừa Thiên - Huế",16.4679799,107.5943896,2,40.0,275.0,1
45571,Century Riverside Hotel Hue,"49 Lê Lợi, Thành Phố Huế, Thừa Thiên - Huế",16.4708257,107.5945653,1,27705.0,275.0,1
45589,Vinpearl Hotel Huế,"50A Hùng Vương, Phú Nhuận, Thành Phố Huế, Thừa Thiên - Huế",16.463313,107.5941497,5,54.0,275.0,1
45757,Sunshine 1 Hotel,"5B/28, Võ Thị Sáu, Thành Phố Huế, Thừa Thiên - Huế",16.47051021,107.5961743,1,27787.0,275.0,1
45759,Sunshine 3 Hotel,"10/2 Võ Thị Sáu, Thành Phố Huế, Thừa Thiên - Huế",16.46966268,107.596405,1,27787.0,275.0,1
8,Khách sạn Đông Xuân Hồng Phú Quốc (Dong Xuan Hong Hotel Phu Quoc),"81 Trần Hưng Đạo, Phú Quốc, Kiên Giang",10.206602,103.963108,2,478.0,446.0,2
10,Khách sạn Blue Ocean (Blue Ocean Hotel),"85 Trần Hưng Đạo, Phú Quốc, Kiên Giang",10.206245,103.963008,2,478.0,446.0,2
39,Phu Quoc Chez Carole Beach Resort,"Tổ 1, Ấp 4 Cửa Cạn, Phú Quốc, Kiên Giang",10.29364935,103.9045162,4,35.0,446.0,2
102,Cửu Long Phú Quốc Resort (Cuu Long Phu Quoc Resort),"Tổ 2, Ấp Cửa Lấp Dương Tơ, Phú Quốc, Kiên Giang",10.180615,103.9682974,3,42.0,446.0,2
130,Hương Giang Bungalow (Huong Giang Bungalow)," Trần Hưng Đạo, Phú Quốc, Kiên Giang",10.19584884,103.9655658,2,478.0,446.0,2
173,Kim Hoa Resort (Kim Hoa Phu Quoc Resort),"88/2 Trần Hưng Đạo, Phú Quốc, Kiên Giang",10.20392886,103.9616874,3,478.0,446.0,2
201,Mon Bungalow,"113 Tran Hung Dao , Dương Đông, Đảo Phú Quốc, Việt Nam",10.20155872,103.9648264,3,478.0,446.0,2
280,Khách Sạn & Sky Bar Venus Phú Quốc (Venus Hotel & Sky Bar Phu Quoc),"60A Trần Hưng Đạo, Phú Quốc, Kiên Giang",10.21316528,103.9591914,2,478.0,446.0,2
286,Resort La Mer Phú Quốc (La Mer Resort Phu Quoc),"118 Alley Trần Hưng Đạo, Phú Quốc, Kiên Giang",10.19529294,103.9654684,3,478.0,446.0,2
298,Phu Quoc Island Resort and Spa,"118 Trần Hưng Đạo, Phú Quốc, Kiên Giang",10.19468052,103.9674532,2,478.0,446.0,2
332,Ha Tien Happy Hotel,"13-14 Hoàng Văn Thụ, Bình San, Thị Xã Hà Tiên, Kiên Giang",10.38108438,104.4878983,2,258.0,230.0,2
372,Khách sạn Gold Beach (Gold Beach Hotel),"126 Trần Hưng Đạo, Phú Quốc, Kiên Giang",10.19053882,103.9669788,3,478.0,446.0,2
393,Homestead Phu Quoc Resort,"143, Trần Hưng Đạo, Phú Quốc, Kiên Giang",10.19442391,103.9674418,3,478.0,446.0,2
415,Khách sạn Gia Huy (Gia Huy Hotel Phu Quoc),"15A Trần Hưng Đạo, Phú Quốc, Kiên Giang",10.21428673,103.9592376,3,478.0,446.0,2
436,Vinpearl Resort & Spa Phú Quốc,"Bãi Dài, Gành Dầu, Phú Quốc, Kiên Giang",10.306744,103.861471,5,472.0,446.0,2
477,Orange Resort,"88/5 Trần Hưng Đạo, Phú Quốc, Kiên Giang",10.202543,103.962026,3,478.0,446.0,2
482,Resort Hiệp Thạnh (Hiep Thanh Resort),"100C/8 Trần Hưng Đạo, Phú Quốc, Kiên Giang",10.19897552,103.9639825,2,478.0,446.0,2
506,Khu Nghỉ Dưỡng Long Beach Phú Quốc (Long Beach Resort - Phu Quoc Island)," Cửa Lấp, Phú Quốc, Kiên Giang",10.18858242,103.9680252,4,31060.0,446.0,2
538,Khách sạn & Resort Tràng An Phú Quốc (Dreamland Trang An Resort),"60 Trần Hưng Đạo, Phú Quốc, Kiên Giang",10.21064565,103.9599967,3,478.0,446.0,2
552,Terrace Resort,"118/9 Trần Hưng Đạo, Phú Quốc, Kiên Giang",10.19445347,103.966611,3,478.0,446.0,2
554,Hòn Trẹm Resort & Spa,"Ba Trại, Bình An, Huyện Kiên Lương, Kiên Giang",10.14887905,104.6127432,0,199.0,293.0,2
619,Phu My Hotel,"33 Hùng Vương, Phú Quốc, Kiên Giang",10.22326931,103.9724496,2,31069.0,446.0,2
642,Eden Phú Quốc Resort,"Ấp Cửa Lấp Dương Tơ, Phú Quốc, Kiên Giang",10.17872477,103.9689875,4,42.0,446.0,2
680,La Vita Resort Phú Quốc (La Vita Resort Phu Quoc),"47/9 Trần Hưng Đạo, Phú Quốc, Kiên Giang",10.21322866,103.9597163,2,478.0,446.0,2
692,Khách Sạn Cội Nguồn Phú Quốc (Coi Nguon Phu Quoc Hotel),"149 Trần Hưng Đạo, Phú Quốc, Kiên Giang",10.19279035,103.9670563,2,478.0,446.0,2
747,Resort Hòa Bình Phú Quốc (Hoa Binh Phu Quoc Resort),"71 Trần Hưng Đạo, Phú Quốc, Kiên Giang",10.20999429,103.9614719,4,478.0,446.0,2
