id,name,province_id
500,Huyện Quỳnh Phụ,59
501,Thành Phố Rạch Giá,2
502,Thành Phố Sa Đéc,47
503,Huyện Sa Pa,21
504,Huyện Sa Thầy,56
505,Thị Xã Sầm Sơn,16
506,Huyện Si Ma Cai,21
507,Huyện Sìn Hồ,62
508,Huyện Sóc Sơn,11
509,Thành Phố Sóc Trăng,52
510,Thị Xã Sông Cầu,58
511,Thị Xã Sông Công,55
512,Huyện Sông Hinh,58
513,Huyện Sông Lô,39
514,Huyện Sông Mã,29
515,Huyện Sốp Cộp,29
516,Huyện Sơn Động,24
517,Huyện Sơn Dương,53
518,Huyện Sơn Hà,13
519,Huyện Sơn Hòa,58
520,Thành Phố Sơn La,29
521,Thị Xã Sơn Tây,11
522,Huyện Sơn Tây,13
523,Huyện Sơn Tịnh,13
524,Quận Sơn Trà,50
525,Huyện Tam Bình,37
526,Huyện Tam Dương,39
527,Huyện Tam Đảo,39
528,Thị Xã Tam Điệp,60
529,Huyện Tam Đường,62
530,Thành Phố Tam Kỳ,28
531,Huyện Tam Nông,47
532,Huyện Tam Nông,49
533,Huyện Tánh Linh,23
534,Thành Phố Tân An,31
535,Huyện Tân Biên,30
536,Quận Tân Bình,33
537,Thị Xã Tân Châu,6
538,Huyện Tân Châu,30
539,Huyện Tân Hiệp,2
540,Huyện Tân Hồng,47
541,Huyện Tân Hưng,31
542,Huyện Tân Kỳ,7
543,Huyện Tân Lạc,48
544,Huyện Tân Phú,32
545,Quận Tân Phú,33
546,Huyện Tân Phú Đông,42
547,Huyện Tân Phước,42
548,Huyện Tân Sơn,49
549,Huyện Tân Thành,15
550,Huyện Tân Thạnh,31
551,Huyện Tân Trụ,31
552,Thị Xã Tân Uyên,22
553,Huyện Tân Uyên,62
554,Huyện Tân Yên,24
555,Huyện Tây Giang,28
556,Huyện Tây Hòa,58
557,Quận Tây Hồ,11
558,Thành Phố Tây Ninh,30
559,Huyện Tây Sơn,5
560,Huyện Tây Trà,13
561,Huyện Thạch An,19
562,Huyện Thạch Hà,45
563,Huyện Thạch Thành,16
564,Huyện Thạch Thất,11
565,Thành Phố Thái Bình,59
566,Thị Xã Thái Hòa,7
567,Thành Phố Thái Nguyên,55
568,Huyện Thái Thụy,59
569,Huyện Than Uyên,62
570,Huyện Thanh Ba,49
571,Huyện Thanh Bình,47
572,Huyện Thanh Chương,7
573,Huyện Thanh Hà,34
574,Thành Phố Thanh Hóa,16
575,Quận Thanh Khê,50
576,Huyện Thanh Liêm,36
577,Huyện Thanh Miện,34
578,Huyện Thanh Oai,11
579,Huyện Thanh Sơn,49
580,Huyện Thanh Thủy,49
581,Huyện Thanh Trì,11
582,Quận Thanh Xuân,11
583,Huyện Thạnh Hóa,31
584,Huyện Thạnh Phú,14
585,Huyện Thạnh Trị,52
586,Huyện Tháp Mười,47
587,Huyện Thăng Bình,28
588,Huyện Thiệu Hóa,16
589,Huyện Thọ Xuân,16
590,Huyện Thoại Sơn,6
591,Huyện Thông Nông,19
592,Huyện Thống Nhất,32
593,Quận Thốt Nốt,38
594,Huyện Thới Bình,41
595,Huyện Thới Lai,38
596,Thành Phố Thủ Dầu Một,22
597,Quận Thủ Đức,33
