id,name,district_id,province_id
28361,Nghĩa Tân,213,54
28362,Châu Xuyên,35,24
28363,Cả Trọng,35,24
28364,Đài Truyền Thanh Cư Jút,140,54
28365,Đồng Cửa,35,24
28366,Đặng Thị Nho,35,24
28367,Huyền Giang,35,24
28368,Nguyễn Tất Thành,140,54
28369,Hùng Vương,35,24
28370,Lê Hồng Phong,35,24
28371,Lê Lai,35,24
28372,Lý Thái Tổ,35,24
28374,Minh Khai,35,24
28376,Ngô Văn Cảnh,35,24
28377,Á Lữ,35,24
28378,Nguyễn Cao,35,24
28379,Lê Lợi,35,24
28380,Huyền Quang,35,24
28381,Nguyễn Khuyễn,35,24
28382,Nguyên Hồng,35,24
28383,Đào Sư Tích,35,24
28384,Giáp Hải,35,24
28385,Nguyễn Thị Lưu,35,24
28386,Nguyễn Gia Thiều,35,24
28387,Liêm Xuyên,35,24
28388,Quang Trung,35,24
28389,Nguyễn Công Hãng,35,24
28390,Tân Mỹ,35,24
28391,Nghĩa Long,35,24
28392,Trần Nguyên Hãn,35,24
28393,Việt Yên,35,24
28394,Vĩnh Ninh,35,24
28395,Xương Giang,35,24
28396,Yết Kiêu,35,24
28397,Nguyễn Văn Cừ,35,24
28398,Hồ Công Viên,35,24
28399,Công Viên Hoàng Hoa Thám,35,24
28400,Trường Trung Cấp Y,35,24
28401,Đài Tưởng Niệm,35,24
28402,Sân Vận Động Thành Phố,35,24
28403,Nguyễn Khắc Nhu,35,24
28404,Chợ Hà Vị,35,24
28405,Nguyễn Văn Mẫn,35,24
28406,Vương Văn Trà,35,24
28407,Chợ Kế,35,24
28408,Trần Quốc Toản,35,24
28409,Hồ Thùng Đấu,35,24
28410,Trần Đăng Tuyển,35,24
28411,Bến Xe Khách Bắc Giang,35,24
28412,Chợ Quán Thành,35,24
28413,Chợ Tạm,35,24
28416,Lê Duẩn,349,24
28417,Hồ Khuân Thần,349,24
28419,Trường THPT Chuyên Bắc Giang,35,24
28421,Cầu Mỹ Độ,35,24
28422,Thánh Thiên,35,24
28423,Nội Đình,348,24
28424,Đồng Giót,249,24
28425,Quốc Lộ 31,348,24
28427,Nguyễn Văn Ty,666,24
28428,Hoàng Hoa Thám,666,24
28429,Quốc Lộ 1,666,24
28430,Núi Hiếu,666,24
28431,Quốc lộ 1A,695,24
28432,Tỉnh Lộ 299,695,24
28433,Tỉnh lộ 284,695,24
28434,Bồ Xuyên,565,59
28435,Chu Văn An,565,59
28436,Bích Động,666,24
28437,Doãn Khuê,565,59
28438,Hoàng Hoa Thám,565,59
28439,Hoàng Văn Thụ,565,59
28440,Hùng Vương,565,59
28441,Lê Đại Hành,565,59
28442,Lê Lợi,565,59
28443,Lê Thánh Tông,565,59
28444,Đốc Nhưỡng,565,59
28445,Kỳ Đồng,565,59
28446,Lý Bôn,565,59
28447,Hai Bà Trưng,565,59
28448,Lý Thái Tổ,565,59
28449,Lý Thường Kiệt,565,59
28450,Lê Quý Đôn,565,59
28451,Minh Khai,565,59
28452,Ngô Thì Nhậm,565,59
28453,Nguyễn Công Trứ,565,59
28454,Nguyễn Du,565,59
28455,Hoàng Công Chất,565,59
28456,Nguyễn Thái Học,565,59
28457,Nguyễn Tông Quai,565,59
28458,Quốc lộ 1A,113,52
28459,Phan Bá Vành,565,59
28460,Phan Bội Châu,565,59
28461,phố Đốc Nhưỡng,565,59
28462,Trần Khánh Dư,565,59
28463,Trần Nhân Tông,565,59
28464,Trần Hưng Đạo,565,59
28465,Trần Thái Tông,565,59
28466,Nhà Hát Chèo Thái Bình,565,59
28467,Chợ Quang Trung,565,59
28468,Trần Lãm,565,59
28469,Chợ Đề Thám,565,59
28470,Trần Thánh Tông,565,59
28471,Công Viên Vui Chơi Giải Trí Kỳ Bá,565,59
28472,Chợ Đậu,565,59
28473,Bệnh Viện Đa Khoa,565,59
28474,Quang Trung,565,59
28475,Quốc Lộ 10,189,59
28476,Trần Phú,565,59
28477,Chợ Bồ Xuyên,565,59
28478,Trần Nhật Duật,565,59
28479,Bến Xe Thái Bình,565,59
28480,Quốc lộ 39,276,59
28481,Công Viên 30 Tháng 6,565,59
28482,An Lễ,500,59
28483,Biến Hiệp,500,59
28484,Tỉnh Lộ 217,500,59
28485,Quảng Trường 14 Tháng 10,565,59
28486,Thái Thọ,568,59
28487,Cầu Thái Bình,565,59
28488,Đại Học Y Thái Bình,565,59
28489,Phố Tiểu Hoàng,608,59
28490,Trần Thủ Độ,565,59
28491,Cầu Đất,259,11
28492,Cao Thắng,259,11
28493,Chợ Gạo,259,11
28495,Ấu Triệu,259,11
28496,Bà Triệu,259,11
28497,Đống Năm,189,59
28498,Cầu Gỗ,259,11
28499,Bát Đàn,259,11
28500,Chả Cá,259,11
28501,Bảo Linh,259,11
28502,Quốc lộ 37,568,59
28504,Bát Sứ,259,11
28505,Bảo Khánh,259,11
28506,Cầu Đông,259,11
28507,Thái Thịnh,568,59
28509,Cổ Tân,259,11
28510,Dã Tượng,259,11
28511,Đặng Thái Thân,259,11
28512,Chân Cầm,259,11
28513,Đinh Công Tráng,259,11
28514,Đinh Lễ,259,11
28515,Chương Dương Độ,259,11
28517,Đông Thái,259,11
28518,Đình Ngang,259,11
28519,Thành,259,11
28520,Dốc Bác Cổ,259,11
28521,Đinh Tiên Hoàng,259,11
28522,Gia Ngư,259,11
28523,Đinh Liệt,259,11
28525,Hạ Hồi,259,11
28526,Hà Trung,259,11
28527,Hai Bà Trưng,259,11
28528,Điện Biên Phủ,259,11
28529,Hàm Tử Quan,259,11
28531,Đào Duy Từ,259,11
28532,Hàm Long,259,11
28533,Gầm Cầu,259,11
28535,Hàng Bút,259,11
28536,Hàng Cân,259,11
28537,Hàn Thuyên,259,11
28539,Hàng Chiếu,259,11
28540,Hàng Da,259,11
28541,Hàng Dầu,259,11
28543,Hàng Chĩnh,259,11
28546,Hàng Đường,259,11
28547,Hàng Đồng,259,11
28548,Hàng Cót,259,11
28550,Hàng Hành,259,11
28551,Hàng Chai,259,11
28552,Hàng Khoai,259,11
28553,Hàng Chuối,259,11
28554,Hàng Chỉ,259,11
28555,Hàng Lược,259,11
28556,Hàng Ngang,259,11
28557,Hàng Hòm,259,11
28558,Hàng Điếu,259,11
28559,Hàng Khay,259,11
28560,Hàng Quạt,259,11
28562,Hàng Rươi,259,11
28563,Hàng Muối,259,11
28564,Hàng Phèn,259,11
28565,Hàng Gà,259,11
28566,Hàng Nón,259,11
28567,Hàng Mắm,259,11
28568,Hàng Tre,259,11
28569,Hàng Giấy,259,11
28570,Hàng Thiếc,259,11
28571,Hàng Vải,259,11
28572,Hàng Vôi,259,11
28573,Hàng Mành,259,11
28574,Hồ Hoàn Kiếm,259,11
28575,Lê Lai,259,11
28576,Lê Thạch,259,11
28577,Liên Trì,259,11
28578,Lê Văn Linh,259,11
28579,Hàng Thùng,259,11
28580,Lê Thánh Tông,259,11
28581,Lê Duẩn,259,11
28582,Hồng Hà,259,11
28583,Lò Sũ,259,11
28584,Lương Ngọc Quyến,259,11
28585,Lương Văn Can,259,11
28587,Hội Vũ,259,11
28588,Lê Thái Tổ,259,11
28589,Hàng Cá,259,11
28590,Hồng Phúc,259,11
28591,Lò Rèn,259,11
28592,Lý Đạo Thành,259,11
28593,Lê Phụng Hiểu,259,11
28595,Lý Nam Đế,259,11
28596,Lãn Ông,259,11
28597,Lý Quốc Sư,259,11
28598,Lý Thường Kiệt,259,11
28600,Ngõ Phất Lộc,259,11
28601,Ngõ Chợ Đồng Xuân,259,11
28602,Ngõ Bảo Khánh,259,11
28603,Ngõ Huyện,259,11
28604,Ngõ Tràng Tiền,259,11
28606,Ngõ Trạm,259,11
28607,Ngô Quyền,259,11
28608,Mã Mây,259,11
28609,Nguyên Khiết,259,11
28610,Nam Ngư,259,11
28612,Ngõ Gạch,259,11
28613,Nguyễn Chế Nghĩa,259,11
28614,Mai Hắc Đế,259,11
28615,Nguyễn Quang Bích,259,11
28616,Nguyễn Hữu Huân,259,11
28617,Ngõ Thọ Xương,259,11
28618,Nguyễn Thiện Thuật,259,11
28619,Ngô Văn Sở,259,11
28620,Nguyễn Thiếp,259,11
28621,Nhà Chung,259,11
28622,Nguyễn Gia Thiều,259,11
28623,Nhà Hỏa,259,11
28624,Nguyễn Thái Học,259,11
28625,Phạm Sư Mạnh,259,11
28626,Phạm Ngũ Lão,259,11
28627,Phan Bội Châu,259,11
28629,Phan Huy Chú,259,11
28630,Nguyễn Khắc Cần,259,11
28631,Nguyễn Xí,259,11
28632,Ô Quan Chưởng,259,11
28633,Nguyễn Văn Tố,259,11
28634,Nhà Thờ,259,11
28635,Phan Đình Phùng,259,11
28637,Phùng Hưng,259,11
28638,Quán Sứ,259,11
28640,Tạ Hiện,259,11
28641,Thanh Hà,259,11
28642,Thanh Yên,259,11
28643,Thợ Nhuộm,259,11
28644,Thuốc Bắc,259,11
28646,Tông Đản,259,11
28647,Tô Tịch,259,11
28648,Phủ Doãn,259,11
28649,Tống Duy Tân,259,11
28650,Trần Bình Trọng,259,11
28651,Trần Khánh Dư,259,11
28652,Trần Nguyên Hãn,259,11
28654,Trần Nhật Duật,259,11
28655,Trần Quang Khải,259,11
28656,Trần Quốc Toản,259,11
28658,Vân Đồn,259,11
28659,Nguyễn Siêu,259,11
28660,Vạn Kiếp,259,11
28661,Trần Phú,259,11
28662,Yết Kiêu,259,11
28663,Vọng Đức,259,11
28664,Hồ Gươm,259,11
28665,Phố cổ,259,11
28666,Cầu Chương Dương,259,11
28667,Hồ Thiền Quang,259,11
28668,Tràng Thi,259,11
28669,Bệnh Viện Quân Y 108,259,11
28670,Cung văn hóa Hữu Nghị,259,11
28671,Cầu Long Biên,259,11
28672,Nhà Thờ Lớn,259,11
28673,Trương Hán Siêu,259,11
28674,An Dương,557,11
